Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,1,Import,699,India,IND,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,167935,,167935,,665098,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,842,USA,USA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,770213,,770213,,6067675,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,858,Uruguay,URY,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,5499,,5499,,33901,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,899,"Areas, nes",,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,4130,,4130,,6244,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,0,World,WLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,9207513,,9207513,,17293795,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,0,World,WLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,61318816,,61318816,,133815395,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,12,Algeria,DZA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,43780,,43780,,107108,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,48,Bahrain,BHR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,18,,18,,75,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,18760,,18760,,64270,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,112,Belarus,BLR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,825000,,825000,,2160869,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,6783,,6783,,34733,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,144,Sri Lanka,LKA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,23090,,23090,,17172,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,152,Chile,CHL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,23,,23,,836,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1706000,,1706000,,4707165,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,203,Czechia,CZE,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,275,,275,,3310,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,208,Denmark,DNK,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,51395,,51395,,748148,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,251,France,FRA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,132172,,132172,,683640,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,276,Germany,DEU,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,41624,,41624,,221699,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,344,"China, Hong Kong SAR",HKG,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,181259,,181259,,576551,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,376,Israel,ISR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,25000,,25000,,120370,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,381,Italy,ITA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,72,,72,,1193,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,381,Italy,ITA,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,306563,,306563,,1474772,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,2605,,2605,,84755,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,392,Japan,JPN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,34499588,,34499588,,66594475,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,400,Jordan,JOR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,5993,,5993,,35308,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,408,Dem. People's Rep. of Korea,PRK,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,192000,,192000,,336931,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,410,Rep. of Korea,KOR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,5860,,5860,,10719,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,410,Rep. of Korea,KOR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1666720,,1666720,,3655441,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,414,Kuwait,KWT,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,48,,48,,250,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,422,Lebanon,LBN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,3000,,3000,,10959,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,440,Lithuania,LTU,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,2563800,,2563800,,5726156,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1096000,,1096000,,2137145,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,462,Maldives,MDV,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,10778,,10778,,87607,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,480,Mauritius,MUS,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,32034,,32034,,110163,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,490,"Other Asia, nes",,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,43930,,43930,,77162,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,490,"Other Asia, nes",,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,9272758,,9272758,,21909648,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,512,Oman,OMN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,74074,,74074,,78579,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,524,Nepal,NPL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,788705,,788705,,614154,,,0
H4,2014,2014,2014,4,0,1,Import,699,India,IND,528,Netherlands,NLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,955,,955,,6694,,,0
H4,2014,2014,2014,4,0,2,Export,699,India,IND,528,Netherlands,NLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,10490,,10490,,32640,,,0
